label,width_u,height_u,type,shape,model_count,models
"8 (",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"9 )",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"< >",1.0,1.0,alpha,iso_extra,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"A",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"B",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"C",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"D",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"E",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"F",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"G",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"H",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"I",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"J",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"K",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"L",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"M",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"N",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"O",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"P",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"Q",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"R",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"S",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"T",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"U",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"V",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"W",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"X",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"Y",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"Z",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"^ °",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
"´ `",1.0,1.0,alpha,standard,16,"akko-fun60-pro-iso-he|akko-mod68-he-iso|akko-3068b-plus-iso-de|akko-3068b-plus-iso|akko-3084b-plus-iso-de|akko-5075b-plus-via-iso|akko-5075b-plus-blue-on-white-iso|monsgeek-m1v5-via-iso|akko-mu01-iso-de|akko-mu02-iso-de|akko-mod007b-he-iso|akko-mod007-year-of-dragon-iso|akko-5087s-iso-de|akko-5098b|akko-5098b-screen|akko-5108b-plus-iso"
